Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
LHEEventProduct                       "source"                    ""                "LHE"     
GenEventInfoProduct                   "generator"                 ""                "SIM"     
edm::TriggerResults                   "TriggerResults"            ""                "SIM"     
vector<reco::GenParticle>             "genParticles"              ""                "SIM"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"    
double                                "ak5CaloJets"               "rho"             "RECO"    
double                                "ak5PFJets"                 "rho"             "RECO"    
double                                "ak5TrackJets"              "rho"             "RECO"    
double                                "ak7BasicJets"              "rho"             "RECO"    
double                                "ak7CaloJets"               "rho"             "RECO"    
double                                "ak7PFJets"                 "rho"             "RECO"    
double                                "kt4CaloJets"               "rho"             "RECO"    
double                                "kt4PFJets"                 "rho"             "RECO"    
double                                "kt6CaloJets"               "rho"             "RECO"    
double                                "kt6CaloJetsCentral"        "rho"             "RECO"    
double                                "kt6PFJets"                 "rho"             "RECO"    
double                                "kt6PFJetsCentralChargedPileUp"   "rho"             "RECO"    
double                                "kt6PFJetsCentralNeutral"   "rho"             "RECO"    
double                                "kt6PFJetsCentralNeutralTight"   "rho"             "RECO"    
edm::TriggerResults                   "TriggerResults"            ""                "RECO"    
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "RECO"    
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "RECO"    
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "RECO"    
vector<reco::CaloMET>                 "corMetGlobalMuons"         ""                "RECO"    
vector<reco::CaloMET>                 "met"                       ""                "RECO"    
vector<reco::CaloMET>                 "metHO"                     ""                "RECO"    
vector<reco::CaloMET>                 "metNoHF"                   ""                "RECO"    
vector<reco::Conversion>              "allConversions"            ""                "RECO"    
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "RECO"    
vector<reco::Vertex>                  "offlinePrimaryVerticesWithBS"   ""                "RECO"    
cmg::METSignificance                  "pfMetSignificance"         ""                "PAT"     
double                                "ak5GenJetsNoNu"            "rho"             "PAT"     
double                                "ak5PFJetsCHS"              "rho"             "PAT"     
double                                "ak5SoftTrackJetsForVbfHbb"   "rho"             "PAT"     
double                                "ak5SoftTrackJetsForVbfHbbCHS"   "rho"             "PAT"     
double                                "ca8GenJetsNoNu"            "rho"             "PAT"     
double                                "ca8PFJetsCHS"              "rho"             "PAT"     
double                                "ca8PFJetsCHSpruned"        "rho"             "PAT"     
double                                "ca8PrunedGenJetsNoNu"      "rho"             "PAT"     
double                                "kt6PFJetsCHSForIso"        "rho"             "PAT"     
double                                "kt6PFJetsForIso"           "rho"             "PAT"     
double                                "kt6PFJetsForRhoComputationVoronoi"   "rho"             "PAT"     
double                                "ca8GenJetsNoNu"            "sigma"           "PAT"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "patJetsCA8CHSprunedSubjets"   "tagInfos"        "PAT"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsCA8CHS"     "tagInfos"        "PAT"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsCA8CHSprunedPre"   "tagInfos"        "PAT"     
edm::TriggerResults                   "TriggerResults"            ""                "PAT"     
edm::ValueMap<StoredPileupJetIdentifier>    "puJetId"                   ""                "PAT"     
edm::ValueMap<StoredPileupJetIdentifier>    "puJetIdCA8CHS"             ""                "PAT"     
edm::ValueMap<StoredPileupJetIdentifier>    "puJetIdCHS"                ""                "PAT"     
edm::ValueMap<float>                  "puJetMvaAK5CHS"            "cutbasedDiscriminant"   "PAT"     
edm::ValueMap<float>                  "puJetMvaCA8CHS"            "cutbasedDiscriminant"   "PAT"     
edm::ValueMap<float>                  "puJetMvaAK5CHS"            "fullDiscriminant"   "PAT"     
edm::ValueMap<float>                  "puJetMvaCA8CHS"            "fullDiscriminant"   "PAT"     
edm::ValueMap<float>                  "puJetMvaAK5CHS"            "simpleDiscriminant"   "PAT"     
edm::ValueMap<float>                  "puJetMvaCA8CHS"            "simpleDiscriminant"   "PAT"     
edm::ValueMap<int>                    "puJetMvaAK5CHS"            "cutbasedId"      "PAT"     
edm::ValueMap<int>                    "puJetMvaCA8CHS"            "cutbasedId"      "PAT"     
edm::ValueMap<int>                    "puJetMvaAK5CHS"            "fullId"          "PAT"     
edm::ValueMap<int>                    "puJetMvaCA8CHS"            "fullId"          "PAT"     
edm::ValueMap<int>                    "puJetMvaAK5CHS"            "simpleId"        "PAT"     
edm::ValueMap<int>                    "puJetMvaCA8CHS"            "simpleId"        "PAT"     
int                                   "nJetsPtGt1"                ""                "PAT"     
pat::TriggerEvent                     "patTriggerEvent"           ""                "PAT"     
vector<CaloTower>                     "patJetsCA8CHSprunedSubjets"   "caloTowers"      "PAT"     
vector<cmg::PhysicsObjectWithPtr<edm::Ptr<reco::GenJet> > >    "genJetSel"                 ""                "PAT"     
vector<double>                        "ca8GenJetsNoNu"            "rhos"            "PAT"     
vector<double>                        "ca8GenJetsNoNu"            "sigmas"          "PAT"     
vector<pat::Conversion>               "patConversions"            ""                "PAT"     
vector<pat::Electron>                 "patElectronsWithTrigger"   ""                "PAT"     
vector<pat::Jet>                      "patJetsCA8CHSprunedSubjets"   ""                "PAT"     
vector<pat::Jet>                      "patJetsWithVar"            ""                "PAT"     
vector<pat::Jet>                      "patJetsWithVarCHS"         ""                "PAT"     
vector<pat::Jet>                      "selectedPatJetsCA8CHSpruned"   ""                "PAT"     
vector<pat::Jet>                      "selectedPatJetsCA8CHSwithQjets"   ""                "PAT"     
vector<pat::MET>                      "patMETs"                   ""                "PAT"     
vector<pat::MET>                      "patMETsRaw"                ""                "PAT"     
vector<pat::MET>                      "patMetShiftCorrected"      ""                "PAT"     
vector<pat::Muon>                     "patMuonsWithTrigger"       ""                "PAT"     
vector<pat::Tau>                      "selectedPatTaus"           ""                "PAT"     
vector<pat::TriggerAlgorithm>         "patTrigger"                ""                "PAT"     
vector<pat::TriggerCondition>         "patTrigger"                ""                "PAT"     
vector<pat::TriggerFilter>            "patTrigger"                ""                "PAT"     
vector<pat::TriggerObject>            "patTrigger"                ""                "PAT"     
vector<pat::TriggerObjectStandAlone>    "patTrigger"                ""                "PAT"     
vector<pat::TriggerPath>              "patTrigger"                ""                "PAT"     
vector<reco::GenJet>                  "ak5GenJetsNoNu"            ""                "PAT"     
vector<reco::GenJet>                  "ca8GenJetsNoNu"            ""                "PAT"     
vector<reco::GenJet>                  "tauGenJetsSelectorAllHadrons"   ""                "PAT"     
vector<reco::GenJet>                  "patJetsCA8CHSprunedSubjets"   "genJets"         "PAT"     
vector<reco::GenParticle>             "genParticlesPruned"        ""                "PAT"     
vector<reco::PFCandidate>             "patJetsCA8CHSprunedSubjets"   "pfCandidates"    "PAT"     
vector<reco::PFMET>                   "nopuMet"                   ""                "PAT"     
vector<reco::PFMET>                   "pcMet"                     ""                "PAT"     
vector<reco::PFMET>                   "pfMetForRegression"        ""                "PAT"     
vector<reco::PFMET>                   "puMet"                     ""                "PAT"     
vector<reco::PFMET>                   "tkMet"                     ""                "PAT"     
vector<reco::TrackJet>                "ak5SoftTrackJetsForVbfHbb"   ""                "PAT"     
vector<reco::Vertex>                  "goodOfflinePrimaryVertices"   ""                "PAT"     
vector<reco::Vertex>                  "goodVertices"              ""                "PAT"     
vector<reco::Vertex>                  "primaryVertexFilter"       ""                "PAT"     
vector<reco::Vertex>                  "recoTauPileUpVertices"     ""                "PAT"     
vector<reco::Vertex>                  "selectedVerticesForMEtCorr"   ""                "PAT"     
